timestamp,event subtype,RSSI
1658955760.377020,36,-41
1658955760.566440,36,-39
1658955760.926460,36,-39
1658955760.931770,36,-39
1658955760.932960,36,-41
1658955760.962950,36,-43
1658955761.038100,36,-39
1658955761.143510,36,-41
1658955761.207010,36,-39
1658955761.588470,36,-45
1658955761.591500,36,-43
1658955761.604660,36,-43
1658955761.611170,36,-43
1658955761.696250,36,-43
1658955761.803740,36,-43
1658955761.848230,36,-43
1658955762.226340,40,-43
1658955762.245370,36,-41
1658955762.359590,36,-45
1658955762.463850,36,-43
1658955762.463860,36,-43
1658955762.488470,36,-45
1658955762.488470,36,-43
1658955762.489780,36,-43
1658955762.489780,36,-45
1658955762.905350,36,-39
1658955763.018350,36,-39
1658955763.124080,36,-43
1658955763.148480,36,-43
1658955763.565350,36,-39
1658955763.677230,36,-39
1658955763.791330,36,-39
1658955763.818440,36,-39
1658955763.820400,36,-39
1658955764.226180,36,-39
1658955764.337240,36,-39
1658955764.444560,36,-41
1658955764.469830,36,-43
1658955764.887220,36,-39
1658955764.999190,36,-41
1658955765.104810,36,-39
1658955765.130340,36,-39
1658955765.545030,36,-45
1658955765.657210,36,-43
1658955765.657220,36,-45
1658955765.765110,36,-45
1658955765.765110,36,-45
1658955765.766690,36,-43
1658955765.766690,36,-43
1658955765.788830,36,-45
1658955765.790230,36,-43
1658955765.790230,36,-43
1658955765.791620,36,-45
1658955765.791620,36,-45
1658955766.080270,36,-41
1658955766.097200,36,-41
1658955766.204080,36,-41
1658955766.317200,36,-45
1658955766.423320,36,-45
1658955766.435950,36,-43
1658955766.720950,36,-43
1658955766.756500,36,-45
1658955766.864190,36,-47
1658955766.865430,36,-47
1658955767.305300,36,-39
1658955767.311640,36,-39
1658955767.362100,36,-39
1658955767.525140,36,-39
1658955767.608680,36,-39
1658955767.608690,36,-39
1658955767.970930,36,-39
1658955768.002630,36,-39
1658955768.077260,36,-41
1658955768.078890,36,-39
1658955768.184050,36,-39
1658955768.245940,36,-39
1658955768.626590,36,-39
1658955768.632320,36,-39
1658955768.632320,36,-39
1658955768.633610,36,-39
1658955768.655210,36,-43
1658955768.972340,44,-39
1658955769.280300,36,-39
1658955769.416150,36,-39
1658955769.843140,36,-39
1658955769.861860,44,-39
1658955769.922800,36,-39
1658955769.937610,36,-43
1658955770.157190,36,-35
1658955770.264040,36,-39
1658955770.562850,36,-47
1658955770.703990,36,-47
1658955770.704000,36,-43
1658955770.705500,36,-43
1658955770.705500,36,-39
1658955770.706880,36,-39
1658955770.706890,36,-47
1658955770.806460,36,-39
1658955770.807980,36,-39
1658955771.145310,36,-45
1658955771.150930,36,-43
1658955771.202790,36,-43
1658955771.257140,36,-43
1658955771.364140,36,-43
1658955771.446140,36,-43
1658955771.805770,36,-43
1658955771.813360,36,-45
1658955771.813360,36,-43
1658955771.842780,36,-39
1658955771.917140,36,-47
1658955771.917150,36,-45
1658955772.023200,36,-43
1658955772.088080,36,-43
1658955772.464860,36,-39
1658955772.470990,36,-39
1658955772.485020,36,-39
1658955772.579850,36,-39
1658955772.683580,36,-39
1658955772.734910,36,-43
1658955772.738070,36,-39
1658955772.738070,36,-39
1658955773.125260,36,-39
1658955773.237340,36,-43
1658955773.344750,36,-43
1658955773.386530,36,-39
1658955773.785410,36,-39
1658955773.785420,36,-39
1658955773.898920,36,-39
1658955774.011890,36,-43
1658955774.477620,36,-43
1658955774.477630,36,-43
1658955774.477630,36,-43
1658955774.477630,36,-43
1658955774.479100,36,-43
1658955774.570220,36,-43
1658955774.572000,36,-39
1658955774.572010,36,-39
1658955774.664360,36,-39
1658955774.713540,36,-37
1658955774.714750,36,-35
1658955775.105190,36,-39
1658955775.326380,36,-39
1658955775.327630,36,-47
1658955775.348640,36,-39
1658955775.348650,36,-39
1658955775.901550,36,-95
1658955775.990660,36,-45
1658955776.434550,36,-47
1658955776.434550,36,-47
1658955776.543970,36,-47
1658955776.644890,36,-39
1658955776.668560,36,-39
1658955776.960540,36,-45
1658955776.997130,36,-47
1658955777.097600,36,-51
1658955777.197090,36,-51
1658955777.338940,36,-49
1658955777.340520,36,-47
1658955777.619020,36,-49
1658955777.769650,36,-49
1658955778.129500,40,-41
1658955778.243780,36,-41
1658955778.317120,36,-39
1658955778.421310,36,-39
1658955778.423240,36,-39
1658955778.851470,36,-39
1658955778.853140,36,-39
1658955778.892300,36,-39
1658955778.894030,36,-39
1658955778.960210,36,-41
1658955779.012480,44,-39
1658955779.769330,36,-35
1658955779.769340,36,-35
1658955780.167160,36,-35
1658955780.167160,36,-35
1658955780.284660,36,-35
1658955780.285980,36,-35
1658955780.384880,36,-35
1658955780.426670,36,-33
1658955780.937490,36,-35
1658955781.069600,36,-35
1658955781.503520,36,-39
1658955781.604620,36,-35
1658955781.704170,36,-35
1658955781.728430,36,-35
1658955781.759950,44,-35
1658955782.146290,36,-35
1658955782.266410,36,-35
1658955782.363820,36,-35
1658955782.366160,36,-35
1658955782.389660,36,-35
1658955782.807520,36,-35
1658955782.917050,36,-35
1658955783.023930,36,-35
1658955783.050790,36,-35
1658955783.465570,36,-35
1658955783.467260,36,-35
1658955783.578510,36,-35
1658955783.712020,36,-35
1658955784.000960,36,-35
1658955784.017790,36,-35
1658955784.017790,36,-35
1658955784.127040,36,-35
1658955784.236410,36,-35
1658955784.343370,36,-35
1658955784.355800,36,-35
1658955784.640620,36,-35
1658955784.677020,36,-35
1658955784.888530,36,-39
1658955785.225150,36,-39
1658955785.230780,36,-35
1658955785.230780,36,-35
1658955785.232220,36,-35
1658955785.232220,36,-35
1658955785.233600,36,-35
1658955785.282660,36,-35
1658955785.445470,36,-39
1658955785.526970,36,-39
1658955785.528740,36,-39
1658955785.528740,36,-35
1658955785.528750,36,-39
