timestamp,event subtype,RSSI
1657226327.687370,40,0
1657226327.687370,40,0
1657226327.687370,40,0
1657226327.687380,40,0
1657226327.709830,40,-43
1657226327.813980,44,-37
1657226329.535850,40,-41
1657226329.540220,44,-37
1657226329.575610,40,-43
1657226329.582010,44,-35
1657226329.620320,44,-37
1657226329.629670,40,-40
1657226329.650130,40,-44
1657226329.653130,40,-42
1657226329.665630,40,-42
1657226329.669680,40,-41
1657226329.672120,40,-43
1657226329.674120,40,-43
1657226329.686770,40,-41
1657226329.687960,40,-41
1657226329.689900,40,-41
1657226329.706980,40,-43
1657226329.712860,40,-41
1657226329.712870,40,-41
1657226329.712870,40,-43
1657226329.739780,40,-41
1657226329.759760,40,-43
1657226329.759770,40,-43
1657226329.759770,40,0
1657226329.759780,40,0
1657226329.765780,40,-41
1657226329.825170,40,-43
1657226329.872670,40,-41
1657226329.906280,40,-43
1657226329.906290,40,-42
1657226329.933210,40,-43
1657226329.935570,40,-41
1657226329.979480,40,-43
1657226329.981930,40,-41
1657226330.026410,40,-40
1657226330.027560,40,-40
1657226330.027560,40,0
1657226330.027570,40,0
1657226330.063890,40,-42
1657226330.063900,40,0
1657226330.063900,40,-40
1657226330.063900,40,0
1657226330.067970,40,-41
1657226330.067970,40,0
1657226330.067980,40,-43
1657226330.067980,40,0
1657226330.085640,40,-41
1657226330.086840,40,-41
1657226330.087990,40,-42
1657226330.088000,40,-41
1657226330.090330,40,-41
1657226330.092510,40,-43
1657226330.107720,40,-43
1657226330.149400,40,-40
1657226330.168200,40,-43
1657226330.168210,40,-42
1657226330.168210,40,-41
1657226330.168220,40,-40
1657226330.169410,40,-40
1657226330.169410,40,-41
1657226330.169420,40,-41
1657226330.176080,40,-43
1657226330.176080,40,-43
1657226330.225080,40,-44
1657226330.235830,40,-41
1657226330.315950,40,-43
1657226330.315950,40,0
1657226330.315950,40,0
1657226330.320510,40,-41
1657226330.320510,40,0
1657226330.320510,40,0
1657226330.320510,40,0
1657226330.358440,40,-43
1657226330.364610,40,-43
1657226330.370200,40,-40
1657226330.370210,40,-43
1657226330.378990,40,-43
1657226330.379000,40,-42
1657226330.394480,40,-41
1657226330.398020,40,-44
1657226330.398020,40,0
1657226330.440770,40,-43
1657226330.467950,40,-44
1657226330.467950,40,-40
1657226330.467960,40,-44
1657226330.467970,40,-41
1657226330.495360,40,-43
1657226330.495370,40,-43
1657226330.500170,40,-43
1657226330.501310,40,-43
1657226330.520250,40,-44
1657226330.521750,40,-41
1657226330.522900,40,-41
1657226330.528340,40,-44
1657226330.528340,40,-44
1657226330.528350,40,0
1657226330.528350,40,0
1657226330.528350,40,0
1657226330.529390,40,-44
1657226330.529400,40,-44
1657226330.529410,40,-41
1657226330.529410,40,0
1657226330.534360,40,-43
1657226330.537420,40,-41
1657226330.537430,40,0
1657226330.537430,40,0
1657226330.537430,40,0
1657226330.537430,40,0
1657226330.537440,40,0
1657226330.544890,40,-44
1657226330.546260,40,-44
1657226330.546260,40,0
1657226330.546260,40,0
1657226330.546270,40,0
1657226330.546270,40,0
1657226330.546270,40,0
1657226330.547930,40,-43
1657226330.550120,40,-43
1657226330.550120,40,0
1657226330.551350,40,-44
1657226330.551360,40,-44
1657226330.552520,40,-43
1657226330.552530,40,-43
1657226330.552530,40,-42
